I. POLYRRHENIA CRETAE (Paleocastro).  ,,
(cf. C. I. Gr. 2559 al.)  ,,
1,, IMP • CAESAR. dIVI • / • COS • III  
2, Paleocaatri. , traiaNVS ' HADRIANus 
,,
II. Lutro Cretae. ,,
3,  Lutri in Creta. , IOVI SOLI OPTIMO MAXIMO•  SARAPIDI ET OMNIBVS DIIS ET• IMPER.ATOR.I CAESAR.I NER.VAE• TR.AIANO A VG • GER.MANI CO DACICO EPICTETVS LIBERTVS TABELLARIVS CVR.AM AGENTE OPER.IS DIONYSIO SOSTR.A TI FILIO ALEXANDRINO GVBERNATORE • NAVIS PARASEMO - ISOPHARIA T CL THEONIS 
,,
III. GORTYNA CRETAE (Hagii Deka).  ,,
(cf. C. I. Gr. 2560 al.)  ,,
4, Gortynae prope ecclesiam dirutam Panhagiae. , IMP CAESARI L SEptimio SEVERO PERTINACI aug. p. m. TR P III cos II IMP IIIi p. p· PROCos EX SVMMA qvAM INTVLIT PRO DECVRIONATV SVO FL TITIANVS SACERDOS DESIGNA TVS DIVI TRAIANI cVRANte l NAEVIO EXACESTA SACERDOTE DIVI AVGVSTI ET CCRCC 
,,
IV. Cretae incerta.  ,,
5, Cretae RED. , Q • VOLTEIOS Q • L • MENODOROS M • p L • F • ER.OS  
