InscNum,Province,Insc,CharCount
1,Polyrrhenia Cretae, IMP • CAESAR. dIVI • / • COS • III  ,25
2,Polyrrhenia Cretae, traiaNVS ' HADRIANus ,18
3,Lutro Cretae, IOVI SOLI OPTIMO MAXIMO•  SARAPIDI ET OMNIBVS DIIS ET• IMPER.ATOR.I CAESAR.I NER.VAE• TR.AIANO A VG • GER.MANI CO DACICO EPICTETVS LIBERTVS TABELLARIVS CVR.AM AGENTE OPER.IS DIONYSIO SOSTR.A TI FILIO ALEXANDRINO GVBERNATORE • NAVIS PARASEMO - ISOPHARIA T CL THEONIS ,226
4,Gortyna Cretae, IMP CAESARI L SEptimio SEVERO PERTINACI aug. p. m. TR P III cos II IMP IIIi p. p· PROCos EX SVMMA qvAM INTVLIT PRO DECVRIONATV SVO FL TITIANVS SACERDOS DESIGNA TVS DIVI TRAIANI cVRANte l NAEVIO EXACESTA SACERDOTE DIVI AVGVSTI ET CCRCC ,193
5,Cretae Incerta, Q • VOLTEIOS Q • L • MENODOROS M • p L • F • ER.OS  ,35
6,Tavchira Cyrenaica, traditur: M// MVRAP/OI//ION// VETIEC • VV/A/D•EX ABRICA/E/SEP•VIVS/SIBI • ET / SVIS FAC /// CVR,82
7,Ptolemais Cyrenaica, VRBASIA • T • L • DIOI/// SIBI • ET • SVIS  ,31
8,Cyrenae,IVLIAE - AVGVSTAE CYRENENSES P-OCTAVIO-PROCOS ,67
9,Cyrenae,pONT•MAX•TRIBNIMFACTANbMFACTA,29
10,Cyrenae, PORTICVS • CAESAREI • Restituit IVS• M • F • PACILAEVS L  ,45
12, Apollonia Cyrenaica, AD... CAES... EV... aquAE D Vctum TI....DEM....CVMIC.... CVN....,57
