InscNum,Province,Insc,CharCount
13,Alexandria, IMP CAESARI M . AVREL ? ANTONIN ? AVG ? ARMEN ? MEDIC ? PARTH GERMAN ? SARMAT ? p ? MAXIM TRIB ? POTEST ? XXX IMP ? VIII ? COS ? III ? P ? P TRIB ? LEG ? II ? TR ? FORT,122
14,Alexandria," FILIO-DIVI,COMMODI?FRA RI,DIVI-ANTON in i PII , NEPOTI, DIVI ? HADRIAN! ú PRONEPOTI ? DIVI  TRAIANI . PARTHIC ú ABNEPoti ú DIVI ú NERVAE  ABNEPOTI - L - SEPTIMIO - SEVERO - Pio  PERTINAC - AVG -ARABIC - ADIABEN1... W... m... pom MAx - TRIBVNIC - POTESTATIS - v_11 -IMp - xi COS ú II ú P ? P ú PROCONSVL DECVRIONES ALARES VETERANAE - GALLIC - ET -1 - THRAC - MAVretan MESSIVS FVRIANVS ASCLEPIODORVS QyI-ET-CDE/l/ IVLIVS HER.ONIANVS AVREL SESARION C-IVLIVS ANTONINu VLPIVS MARCIANVS ARRIVS QVODRATVS FLABIVS EVDAEMON ANNELLVS QVODRATVS AVRELIVS PROTOGENES AELI v s MARTIANVS AELIVS ANTIOCHIANVS lVLIVS LONGINVS AVRELIVS HERACLIDES ANTONIVS ANTIOCHIANVS CLAVDIVS AGRIPPAS VMBRICIVS VITALIVS AELIVS HADRIANVS AVRELIVS ISIDORVS AVRELIVS AELIVS SECVNDINVS VERVS ANTBSSTIVS NVMISIANVS MARCVS PVSCVS PLOTIVS MARCVS VLPIVS VICTORIVLIVS BASSVS AELIVS HERACLIANVS COMINIVS? RO//////  ANTONIVS /'///S /////////////////////",775
15,Alexandria, PROCOS ?ALA? VETERAna GALLICA ? DEVOTA ? NVMINI eius DEDICANTE !!!!!! !!!!!!!!!!!  ,70
16,Alexandria, SEMPRON  sTRAVITo,15
17,Alexandria, DEFENSORI ? QYIETIS ? PVBLICAE D ? N ? HVMANISSIMO INVICTISSIM.O QYI CONSTANTINO AETERNO ? AVGVSTO ARRIVS? DIOTIMVS ? V ? P RAT ? AEG ? N ? M ? Q ? EIVS DICATISSIMVS  ,132
18,Alexandria, PIISSIMO ? ET ? PELICISSIMO ? IMP D ? N ? FL ?VAL? CONSTANTINO P ? F ? INVICTO ? AVG VAL ? EPIPANIVS ? V ? P ? MAG PRIVAT ? AEG ? ET ? LIB D ? N ? M. ? Q? EIVS ,115
19,Alexandria, DOMINI NOSTRI INVICTISSIMI ET VENERABILES AC PERPETVI AVGVSTI THEODOSIVS ET ARCADIVS TOTO ORBE VICTORES MATERNO CYNEGIO OMNIVM VIRTVTVM VIRO ET AD INSIGNEM LAVDEM GLORIAMQYE?PROGENITO? PER OMNES ? HONORVM. GRADVS ? MERITORVM CON TEMPLATIONE PR.OVECTO PRAEFECTO  PRAETORIO PER ORIENTEM STATVAM CIVILI HABITV AD PETITVM PRIMORVM NOBILIVM ALEXANDRINAE VRBIS IN EADEM SPLENDIDA  VRBE AD PERPETVITATIS FAMAM LOCO CELE BERRIMO CONSTITVI coLLocAmoys IVSSERVNT PER CLARISS/IMOS AL/EXANDRINAE CIVITATIS ,428
20,Alexandria, DVLCISSIMO et INNOCENtiSS FILIO TANNONIO QVI VIXIT ANN VIM VI M VI d VI TANNONVS ,66
21,Pyramid of Giza, VIDI PYRAMIDAS SINE TE DVLCISSIME FRATER ET TIBI QVOD POTVI LACRIMAS mc MaESTA PROFVDI ET NOSTRI MEMOREM LVCTVS HANC SCVLPO QYERELAM SIT NOMEN DECIMI CENTIANNI PYRAMIDE ALTA PONTIFICIS COMITISQVE TVIS TRAIANE TRIVMPHIS LVSTRA SEX INTRA CENSeboS CONSVL IS ESSEt  ,222
22,Hieracon Polis,  IOVI HERCVLI VICTORIAE IMPERATOR ?CAESAR.? gAIVS ? AVRELIVS ? VALERIVS ? DIOCLETIANVS ?PIVS FELIX úINVICúA VGúPONT?MAX?GERM ? MAX?TRIB ?POT? III ?COS?ll? P ?.P?PROCOS INVICTISSIMI ? PRINCIPES ? NN ? TOTIVS ? ORBIS ? RESTITVTORES CASTRA ? COHORTIS ?I? AVG? PRAET ? LVSITANORVM PROVIDENTIA ? SVAE ? MAIESTATIS ? EXTRVCTA ? DEDICAVVVNT ,282
23,Hieracon Polis, SER INV  ,6
25,Mons Claudianus,ANNIVS RVFVS '/ LEG XV  APOLLINAI.IS PllAEPOSITVS AB OPTIMO IMP TRAIANO OPERI MArMORVM MONTI CLAVDIANO V ? S ? t ? A,94
26,Mons Claudianus,PD XXXII PD XXXIIII PD XbIIII,24
27,Hamamat,C ? aNTIStIVS  ,11
28,Hamamat,L ? VETTIVS VETTIA CASSIA S L ? VETTIVS  ,31
29,Hamamat,C ? PETICIVS  ,10
30,Thebes, A ? INSTVLEIVS ? TENAX ? PRIMIPILARIS ? LEG ? xii  FVLMINATAE?ET?C?VALERIVS PRISCVS?7?LEGúXXII  ET?L?QYINTIVS?VIATORúDECVRIO AVDIMVS M.EMNONEM  ANNO XI NERONIS IMP N XVII ? K APRIL HORA,157
31,Thebes, TI? IVLIVS ?  LVPVS ? PR?AE AVDI MEMN/onem HoRA ET,40
32,Thebes,L~.NIVS C.ALVINVS ~NTIS BEReNIC AVDIVI ? MEMNONEM CV M.INICIA ? RVSTICA VXORE XV  K ? AP RILES? HOR? II ?ANNO? IV? IMP N  VESPASIANI AVGVS VESPASIANI AVGVS  ,127
33,Thebes,t ? SVEDIVS ? CLEMENS  PRAEF CASTROR AVDI MEMMNONE II? IDVS?NOVEMBRES ANNO ? II ? T ? IMP ? N,73
